URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/",82,58,96,81,92,1995.07,15740.71,0,212,81,7123.66,1,1,1,1,1,1,1,1,1
"/148/newsletter/january-2024-newsletter/",83,59,100,81,92,1987.03,6438.03,0,184,67,4179.58,1,1,1,1,1,1,1,1,1
"/150/newsletter/january-2023-newsletter/",83,60,100,81,92,1990.4,5599.4,0,244,97,3827.96,1,1,1,1,1,1,1,1,1
"/152/newsletter/january-2022-newsletter/",82,56,100,81,92,3382.58,7621.51,0,211,80.5,4706.36,1,1,1,1,1,1,1,1,1
"/154/newsletter/2025-26-winter-shut-down/",84,61,100,81,92,1996.46,5151.46,0,130,40,4037.5,1,1,1,1,1,1,1,1,1
"/155/upcoming-meetings/january-26-2022-board-meeting-agenda/",88,61,100,100,92,1989.47,7394.61,0,16,0,3056.68,1,1,1,1,1,1,1,1,1
"/163/upcoming-meetings/january-26-2022-board-meeting-minutes/",88,60,100,100,92,1986.55,6348.05,0,16,0,3472.42,1,1,1,1,1,1,1,1,1
"/164/upcoming-meetings/february-16-2022-board-meeting-agenda/",88,60,100,100,92,1983.66,7396.11,0,18,0,3262.47,1,1,1,1,1,1,1,1,1
"/165/upcoming-meetings/february-16-2022-board-meeting-minutes/",88,61,100,100,92,2003.6,6811.83,0,16,0,3041.52,1,1,1,1,1,1,1,1,1
"/168/upcoming-meetings/march-16-2022-board-meeting-agenda/",88,61,100,100,92,1980.52,5886.55,0,16,0,3236.65,1,1,1,1,1,1,1,1,1
"/169/upcoming-meetings/march-16-2022-board-meeting-minutes/",88,61,100,100,92,2014.36,6521.83,0,23,0,3151.21,1,1,1,1,1,1,1,1,1
"/172/upcoming-meetings/april-20-2022-board-meeting-agenda/",88,61,100,100,92,1985.19,7092.87,0,19,0,3080.6,1,1,1,1,1,1,1,1,1
"/173/upcoming-meetings/april-20-2022-board-meeting-minutes/",88,61,100,100,92,1982.83,7391.88,0,18,0,2821.35,1,1,1,1,1,1,1,1,1
"/176/upcoming-meetings/may-18-2022-board-meeting-agenda/",88,61,100,100,92,1987.84,7550.03,0,16,0,2963.47,1,1,1,1,1,1,1,1,1
"/177/upcoming-meetings/may-18-2022-board-meeting-minutes/",88,61,100,100,92,1981.09,7087.16,0,16,0,3063.66,1,1,1,1,1,1,1,1,1
"/180/upcoming-meetings/june-15-2022-board-meeting-agenda/",88,61,100,100,92,1980.74,7389.95,0,18,0,3173.75,1,1,1,1,1,1,1,1,1
"/181/upcoming-meetings/june-15-2022-board-meeting-minutes/",88,60,100,100,92,1993.9,7405.53,0,17,0,3241.4,1,1,1,1,1,1,1,1,1
"/184/upcoming-meetings/july-6-2022-special-board-meeting-minutes/",88,61,100,100,92,1991.51,7395.64,0,16,0,3155.7,1,1,1,1,1,1,1,1,1
"/185/upcoming-meetings/july-6-2022-special-board-meeting-agenda/",88,61,100,100,92,2005.83,7111.83,0,16,0,3181.63,1,1,1,1,1,1,1,1,1
"/189/upcoming-meetings/july-21-2022-special-board-meeting-minutes/",88,61,100,100,92,1978.23,7084.32,0,16,0,3243.82,1,1,1,1,1,1,1,1,1
"/191/upcoming-meetings/july-21-2022-special-board-meeting-agenda/",88,61,100,100,92,1981.84,7391.11,0,19,0,3174.55,1,1,1,1,1,1,1,1,1
"/192/upcoming-meetings/august-17-2022-board-meeting-minutes/",88,61,100,100,92,1988.91,7397.94,0,16,0,2898.19,1,1,1,1,1,1,1,1,1
"/193/upcoming-meetings/august-17-2022-board-meeting-agenda/",89,62,100,100,92,1983.4,7100.64,0,16,0,2783.62,1,1,1,1,1,1,1,1,1
"/196/upcoming-meetings/september-21-2022-board-meeting-minutes/",88,61,100,100,92,1991.62,7247.62,0,16,0,3195.65,1,1,1,1,1,1,1,1,1
"/197/upcoming-meetings/september-21-2022-board-meeting-agenda/",88,60,100,100,92,1987.66,7396.46,0,16,0,3311.74,1,1,1,1,1,1,1,1,1
"/200/upcoming-meetings/october-19-2022-board-meeting-agenda/",88,61,100,100,92,1922.32,5590.8,0,16,0,3467.09,1,1,1,1,1,1,1,1,1
"/201/upcoming-meetings/october-19-2022-board-meeting-minutes/",89,62,100,100,92,1990.42,5599.42,0,16,0,3109.79,1,1,1,1,1,1,1,1,1
"/204/upcoming-meetings/november-16-2022-board-meeting-minutes/",89,62,100,100,92,1893.08,5488.02,0,16,0,3407.34,1,1,1,1,1,1,1,1,1
"/205/upcoming-meetings/november-16-2022-board-meeting-agenda/",88,61,100,100,92,2527.15,5740.72,0,16,0,2574.27,1,1,1,1,1,1,1,1,1
"/208/upcoming-meetings/december-21-2022-board-meeting-minutes/",89,62,100,100,92,1891.83,5461.05,0,16,0,3074.59,1,1,1,1,1,1,1,1,1
"/209/upcoming-meetings/december-21-2022-board-meeting-agenda/",89,62,100,100,92,1991.73,5454.73,0,16,0,2985.18,1,1,1,1,1,1,1,1,1
"/212/upcoming-meetings/december-21-2022-board-meeting-minutes-2/",88,61,100,100,92,1991.59,5599.59,0,17,0,3181.02,1,1,1,1,1,1,1,1,1
"/213/upcoming-meetings/january-18-2023-board-meeting-agenda/",89,62,100,100,92,1993.38,5899.82,0,16,0,2908.78,1,1,1,1,1,1,1,1,1
