URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Labels,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/",68,28,85,74,83,5240.65,31291.43,0.09,718,672,17123.46,1,0,1,1,1,0,0,1,1,1
"/1/Home",68,30,85,74,83,5438.51,31038.44,0.09,598,561,17845.76,1,0,1,1,1,0,0,1,1,1
"/101/City-Services",77,53,90,74,92,5913.05,17037.38,0.09,82,37,9875.03,1,0,1,1,1,0,0,1,1,1
"/1034/Shop-Palmdale",76,50,96,74,83,5671.7,17501.26,0.09,192,145,8903.26,1,0,1,1,1,0,0,1,1,1
"/1046/Campaign-Filing-Statements",79,53,96,74,92,5658.92,15975.53,0.09,88,42,8160.45,1,0,1,1,1,0,0,1,1,1
"/1050/Job-Opportunities",78,53,100,74,83,5786.61,14637.28,0.09,70,20,7298,1,1,1,1,1,0,0,1,1,1
"/1051/Employment-Documents",78,53,100,74,83,6031.55,14299.24,0.09,67,17,6932.83,1,1,1,1,1,0,0,1,1,1
"/1052/Why-Palmdale",77,52,100,74,83,5087.12,17854.26,0.09,141,91,7229.09,1,1,1,1,1,0,0,1,1,1
"/1058/Public-Art-Commission",75,53,97,56,92,6994.19,16064.25,0.09,56,6,7969.89,1,1,1,1,1,0,0,1,1,1
"/1061/Related-Projects",77,53,96,74,83,6117.72,17488.41,0.09,65,15,8255.71,1,0,1,1,1,0,0,1,1,1
"/1063/PTC-Infrastructure-Support-Project",79,53,97,74,92,5779.04,13138.05,0.09,57,7,6855.95,1,1,1,1,1,0,0,1,1,1
"/1064/Local-Hazard-Mitigation-Plan",77,53,97,74,83,6285.98,15882.92,0.09,70,20,7115.52,1,1,1,1,1,0,0,1,1,1
"/1065/Measure-AV-Oversight-Committee",74,53,94,56,92,12039.9,23353.17,0.09,57,7,12039.9,1,1,1,1,1,0,0,1,1,1
"/1066/Upcoming-Digitized-Utilities-Inventory-P",79,53,97,74,92,5976.71,14222.72,0.09,59,9,6153.89,1,1,1,1,1,0,0,1,1,1
"/1068/Housing-Development",70,25,97,74,83,6524.71,44390.64,0.09,1051,1001,19355.65,1,1,1,1,1,0,0,1,1,1
"/1074/Park-Statistics-Data",79,53,96,74,92,5547.21,16242.98,0.09,56,6,7269.89,1,0,1,1,1,0,0,1,1,1
"/1090/Peace-Together",77,52,99,74,83,5746.7,16996.81,0.09,147,97,7205,1,0,1,1,1,0,0,1,1,1
"/1098/On-Fire",75,36,100,74,92,5833.79,23467.02,0.09,448,398,9979.73,1,1,1,1,1,0,0,1,1,1
"/1102/Current-Vacancies",79,53,96,74,92,5825.94,13775.53,0.09,60,10,6246.35,1,0,1,1,1,0,0,1,1,1
"/1106/Enhanced-Infrastructure-Financing-Distri",74,52,97,56,92,7473.61,18199.66,0.09,154,104,7918.6,1,1,1,1,1,0,0,1,1,1
"/1110/2013---What-Beauty-Holds-Us-Captive-Here",80,53,99,74,92,5476.07,14308.14,0.09,63,13,6617.19,1,0,1,1,1,0,0,1,1,1
"/1111/2014---One-Day",77,53,99,74,83,5750.01,14138.72,0.09,51,1,6238.31,1,0,1,1,1,0,0,1,1,1
"/1112/2015---Summer-Fun",80,53,99,74,92,4325.76,14298.17,0.09,24,0,6278.27,1,0,1,1,1,0,0,1,1,1
"/1113/2015---Everyone-Has-A-Story-To-Tell",80,53,99,74,92,5825.73,17378.61,0.09,57,7,7593.91,1,0,1,1,1,0,0,1,1,1
"/1114/2016---Guardians-Brave-Let-Palmdale-Play",78,48,99,74,92,5543.4,18580.82,0.09,237,187,7701.14,1,0,1,1,1,0,0,1,1,1
"/1115/2016---Generations-of-Pioneers",76,39,99,74,92,5826.24,22850.12,0.09,386,336,9607.31,1,0,1,1,1,0,0,1,1,1
"/1117/2016---Life-is-Better-at-the-Park",77,53,99,74,83,5820.5,14517.95,0.09,51,1,6414.73,1,0,1,1,1,0,0,1,1,1
"/1118/2017---Summer",77,53,99,74,83,5827.37,16499.76,0.09,54,4,6361.05,1,0,1,1,1,0,0,1,1,1
"/1119/2018---Palmdale-My-Palmenthal",80,53,99,74,92,5825.84,14685.63,0.09,58,8,6979.38,1,0,1,1,1,0,0,1,1,1
"/1120/2019---My-Neighborhood",80,53,99,74,92,5569.68,14181.31,0.09,59,9,6516.24,1,0,1,1,1,0,0,1,1,1
"/1121/2020---Everyone-Counts",78,48,99,74,92,5819.14,18571.25,0.09,235,185,7803.77,1,0,1,1,1,0,0,1,1,1
"/1129/Palmdale-Community-Foundation",80,53,99,74,92,5982.21,16782.85,0.09,94,44,7484.69,1,0,1,1,1,0,0,1,1,1
"/1137/Recycle-Your-Paint",78,53,100,74,83,5835.44,21728.79,0.09,54,4,9670.15,1,1,1,1,1,0,0,1,1,1
"/1143/National-Fitness-Court",77,53,97,74,83,5827.27,17925.04,0.09,72,22,7164.85,1,1,1,1,1,0,0,1,1,1
"/1156/Field-of-Honor",72,35,97,74,83,5625.02,24074.44,0.09,452,402,10746.91,1,1,1,1,1,0,0,1,1,1
"/1157/Parks-Recreation",78,53,100,74,83,5974.37,15201.83,0.09,64,14,6714.88,1,1,1,1,1,0,0,1,1,1
"/1163/Improvement-Districts",79,53,97,74,92,5828.79,14081.32,0.09,60,10,6358.83,1,1,1,1,1,0,0,1,1,1
"/1164/Free-Park-Events-and-Activities",77,51,100,74,83,5824.77,26081.91,0.09,191,141,11257.49,1,1,1,1,1,0,0,1,1,1
"/1167/2021---Palmdale-Cares",77,44,100,74,92,5832.86,21883.14,0.09,301,251,9028.01,1,1,1,1,1,0,0,1,1,1
"/1168/Illegal-Dumping",75,39,97,74,92,6919.9,96351.98,0.09,382,332,13166.5,1,1,1,1,1,0,0,1,1,1
"/1169/Partnerships-with-Private-Organizations",80,53,99,74,92,5904.78,25406.47,0.09,99,49,10779.71,1,0,1,1,1,0,0,1,1,1
"/1172/Code-Changes-Enforcement-Policies",77,53,99,74,83,4272.61,14296.57,0.09,24,0,6650.53,1,0,1,1,1,0,0,1,1,1
"/1173/Surveillance-Cameras",77,53,99,74,83,5969.51,15215.96,0.09,67,17,6536.29,1,0,1,1,1,0,0,1,1,1
"/1174/Multifamily-Complex-Outreach-Education",77,53,99,74,83,5990.27,16431.76,0.09,67,17,7339.68,1,0,1,1,1,0,0,1,1,1
"/1183/Courtneys-Playground",75,38,96,74,92,6272.14,29730.61,0.09,389,339,11040.07,1,0,1,1,1,0,0,1,1,1
"/1184/Rancho-Vista-Park-Project",78,48,100,74,92,5825.99,26021.93,0.09,234,184,9720.61,1,1,1,1,1,0,0,1,1,1
"/1185/Melville-J-Courson-Park-Revitalization-P",80,52,100,74,92,5974.05,20057.86,0.09,169,119,8890.76,1,1,1,1,1,0,0,1,1,1
"/1186/Amargosa-Creek-Trail-Enhancement-Project",80,53,100,74,92,6497.18,14358.11,0.09,60,5,8166,1,1,1,1,1,0,0,1,1,1
"/1187/Marie-Kerr-Pool-Swim-Deck-Expansion-Proj",80,53,100,74,92,6421.98,15135.98,0.09,59,9,7599.09,1,1,1,1,1,0,0,1,1,1
"/1191/2022---Dogs-in-the-Park",80,53,100,74,92,5819.25,16560.08,0.09,56,6,7472.57,1,1,1,1,1,0,0,1,1,1
"/1194/Palmdale-Tourism-Improvement-District",80,53,99,74,92,5820.93,14146.5,0.09,61,11,6140.13,1,0,1,1,1,0,0,1,1,1
"/1202/Trash-Recycling-and-Organics",79,53,97,74,92,6324.03,74368.7,0.09,149,49.5,36322.8,1,1,1,1,1,0,0,1,1,1
"/1203/Small-Business-Assistance-Programs",77,53,96,74,83,5824.7,13839.71,0.09,52,2,6255.48,1,0,1,1,1,0,0,1,1,1
"/1206/Palmdale-e-Newsletters",71,47,96,56,83,5979.27,20213,0.09,247,197,8882.56,1,0,1,1,1,0,0,1,1,1
"/1212/Cosmo",77,43,99,74,92,10882.6,27747.4,0.09,310,260,12789.08,1,0,1,1,1,0,0,1,1,1
"/1213/Sustainable-Transportation-Plan",76,40,97,74,92,5972.09,21813.32,0.09,359,309,9266.06,1,1,1,1,1,0,0,1,1,1
"/1230/Desert-Bloom",80,53,100,74,92,5825.37,19783.27,0.09,60,10,8914.67,1,1,1,1,1,0,0,1,1,1
"/1231/Hummingbirds-and-Desert-Flowers",77,52,100,74,83,5823.89,17389.74,0.09,148,98,7439.86,1,1,1,1,1,0,0,1,1,1
"/1232/A-New-Digital-Connection",77,50,100,74,83,5522.06,17075.64,0.09,203,153,7492.04,1,1,1,1,1,0,0,1,1,1
"/1233/Ravenhorns",78,53,100,74,83,5828.76,16717.65,0.09,58,8,7168.68,1,1,1,1,1,0,0,1,1,1
"/1234/Maintenance-Issue",77,53,96,74,83,12225.27,21389.94,0.09,39.5,4,12225.27,1,0,1,1,1,0,0,1,1,1
"/1252/Parks-Recreation",77,53,90,74,92,6200.98,15585.84,0.09,104,54,6918.68,1,0,1,1,1,0,0,1,1,1
"/1262/Parking-and-Transportation",77,53,89,74,92,6052.05,15274.23,0.09,48,0,6520.32,1,0,1,1,1,0,0,1,1,1
"/1263/Fentanyl-Awareness-Resources",71,27,99,74,83,13857.28,36349.43,0.09,791,741,15541.58,1,0,1,1,1,0,0,1,1,1
"/1268/Doing-Business-with-Palmdale",77,53,90,74,92,5820.05,15575.96,0.09,89,39,6779.83,1,0,1,1,1,0,0,1,1,1
"/1286/Things-to-Do",75,53,89,74,83,5671.56,14746.89,0.09,57,7,6271.3,1,0,1,1,1,0,0,1,1,1
"/1288/Contact-Us",77,53,90,74,92,5825.36,16632.85,0.09,121,71,7165.92,1,0,1,1,1,0,0,1,1,1
"/1291/Inspections",77,53,90,74,92,5822.87,15877.51,0.09,102,52,6932.25,1,0,1,1,1,0,0,1,1,1
"/1302/Start-a-Business",77,53,89,74,92,5833.4,16988.91,0.09,102,52,7358.36,1,0,1,1,1,0,0,1,1,1
"/1312/Filming-in-Palmdale",77,53,90,74,92,5823.49,16551.11,0.09,125,75,7411.87,1,0,1,1,1,0,0,1,1,1
"/1316/Revolution",80,53,100,74,92,10678.95,24609.45,0.09,57,7,10678.95,1,1,1,1,1,0,0,1,1,1
"/1317/AV-Mosquito-and-Vector-Control-District",80,53,99,74,92,5819.75,14162.37,0.09,63,13,6397.42,1,0,1,1,1,0,0,1,1,1
"/1318/Business-of-the-Week",80,53,100,74,92,21509.24,35853.42,0.09,24,0,21509.24,1,1,1,1,1,0,0,1,1,1
"/1319/SR-138-Widening-and-Railroad-Safety-Proj",80,53,99,74,92,5832.47,14175.26,0.09,65,15,6595.42,1,0,1,1,1,0,0,1,1,1
"/1320/Avenue-R-Complete-Streets-and-Safe-Route",80,53,99,74,92,5839.36,19509,0.09,71,21,8864.48,1,0,1,1,1,0,0,1,1,1
"/1323/Rancho-Vista-Park",75,43,99,74,83,5827.91,20092.35,0.09,321,271,10180.24,1,0,1,1,1,0,0,1,1,1
"/1326/Sam-Yellen-Park-Phase-II",78,53,100,74,83,5838.95,16229.93,0.09,73,23,7319.26,1,1,1,1,1,0,0,1,1,1
"/1340/Reaching-Purity",78,53,100,74,83,10806.83,25297.96,0.09,77,27,10806.83,1,1,1,1,1,0,0,1,1,1
"/1342/Edible-Food-Recovery-Program",68,28,94,56,92,11430.22,38957.04,0.09,722,672,17795.68,1,1,1,1,1,0,0,1,1,1
"/1343/Veterans-Resources",75,43,99,74,83,5821.05,21374.31,0.09,317,267,10283.25,1,0,1,1,1,0,0,1,1,1
"/1344/Vending-in-Palmdale",71,53,82,74,75,5834.7,14353.65,0.09,68,18,6440.53,1,0,1,1,1,0,0,1,1,1
"/1345/Sidewalk-Vendors",79,53,97,74,92,6131.74,14695.75,0.09,66,16,6649.18,1,1,1,1,1,0,0,1,1,1
"/1346/Mobile-Vendors",76,53,84,74,92,6127.13,15149.14,0.09,66,16,6554.93,1,1,1,1,1,0,0,1,1,1
"/1351/Standard-ADU-Plans",77,53,97,74,83,5820.42,14086.47,0.09,67,17,6130.22,1,1,1,1,1,0,0,1,1,1
