URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Labels,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/",82,55,94,93,85,3587.34,21630.05,0,20,0,18937.86,1,1,1,1,1,0,0,1,1,1
"/2024-a-year-of-transformation-and-empowerment-in-paramount/",83,55,100,93,85,3304.09,12078.37,0,16,0,9170.17,1,1,1,1,1,0,0,1,1,1
"/a-message-from-the-city-council-regarding-federal-activity-in-paramount/",83,55,100,93,85,3198.44,50656.66,0,16,0,15970.87,1,1,1,1,1,0,0,1,1,1
"/building-a-safer-future-in-paramount-this-building-safety-month/",84,57,100,93,85,3181.59,13611.36,0,19,0,3875.97,1,1,1,1,1,0,0,1,1,1
"/business/",83,55,100,93,85,3317.08,14517.26,0.01,17,0,10630.06,1,1,1,1,1,0,0,1,1,1
"/business/job-and-opportunities-dev/",83,57,97,93,85,2421.34,12771.34,0,16,0,6833.93,0,1,1,1,1,0,0,1,1,1
"/business/job-and-opportunities/",83,56,97,93,85,2582.89,13373.3,0,17,0,5609.09,0,1,1,1,1,0,0,1,1,1
"/category/news/",82,56,100,93,77,2587.55,12477.55,0,16,0,7898.28,1,1,1,1,1,0,0,1,1,1
"/celebrating-hispanic-heritage-month/",84,57,100,93,85,3170.68,6620.68,0,16,0,4553.53,1,1,1,1,1,0,0,1,1,1
"/celebrating-paramounts-parks-national-park-week/",85,60,100,93,85,2346.54,13020.85,0,16,0,2842.94,1,1,1,1,1,0,0,1,1,1
"/city-of-paramount-statement-on-reported-ice-activity-in-the-region/",85,61,100,93,85,2421.31,4071.44,0,16,0,14773.26,1,1,1,1,1,0,0,1,1,1
"/civic-center-upgrades-enhance-paramounts-public-spaces/",84,57,100,93,85,2422.28,11272.67,0,16,0,9665.4,1,1,1,1,1,0,0,1,1,1
"/combating-crime-updates-on-street-racing-prevention/",84,57,100,93,85,3171.61,6321.76,0,16,0,4153.71,1,1,1,1,1,0,0,1,1,1
"/community-copy/",85,63,100,93,85,2421.87,4372.15,0,19,0,2773.1,1,1,1,1,1,0,0,1,1,1
"/community/",84,57,100,93,85,3322,11272.21,0,20,0,3428.07,1,1,1,1,1,0,0,1,1,1
"/community/1660-adult-recreation-program/",84,58,100,93,85,3172.16,15622.53,0,16,0,3172.16,1,1,1,1,1,0,0,1,1,1
"/community/boulevard-of-scholars/",84,56,100,93,85,2570.62,9471.37,0,16,0,6882.3,1,1,1,1,1,0,0,1,1,1
"/community/city-profile/city-vision-mission-statement/",84,57,100,93,85,2435.54,10835.54,0,16,0,5820.92,1,1,1,1,1,0,0,1,1,1
"/community/city-profile/financial-profile/",84,56,100,93,85,3173.59,9024.31,0,16,0,5699.02,1,1,1,1,1,0,0,1,1,1
"/community/community-development-block-grant/caper/",84,58,99,93,85,2424.86,10075.31,0,18,0,3386.07,1,0,1,1,1,0,0,1,1,1
"/community/community-development-block-grant/cares-act/",84,56,100,93,85,3178.75,9028.99,0,16,0,5220.21,1,1,1,1,1,0,0,1,1,1
"/community/community-development-block-grant/citizen-participation-plan/",84,56,100,93,85,3170.05,9020.05,0,18,0,4977.67,1,1,1,1,1,0,0,1,1,1
"/community/community-development-block-grant/fair-housing/",84,56,100,93,85,3170.6,9620.88,0,19,0,4098.81,1,1,1,1,1,0,0,1,1,1
"/community/community-development-block-grant/home-arp/",84,58,100,93,85,3170.13,9021.09,0,18,0,3170.13,1,1,1,1,1,0,0,1,1,1
"/community/community-development-block-grant/public-hearings-notices/",84,56,100,93,85,3170.18,9020.42,0,16,0,5676.07,1,1,1,1,1,0,0,1,1,1
"/community/events/friday-night-market/",84,59,100,93,85,2581.43,14272.49,0,16,0,2875.89,1,1,1,1,1,0,0,1,1,1
"/community/events/summer-concerts/",82,55,94,93,85,3774.81,20738.6,0,31,0,11091.43,1,1,1,1,1,0,0,1,1,1
"/community/mommy-and-me-program/",84,56,100,93,85,3172.08,9022.56,0.01,16,0,6090.37,1,1,1,1,1,0,0,1,1,1
"/community/pride-of-paramount-contest/",83,56,97,93,85,3323.57,9474.18,0,22,0,5609.16,0,1,1,1,1,0,0,1,1,1
"/community/pulse-beat/",84,56,100,93,85,3173.13,8274.48,0,16,0,6796.02,1,1,1,1,1,0,0,1,1,1
"/community/service-clubs/",84,56,100,93,85,3171.26,9021.92,0.01,16,0,6873.32,1,1,1,1,1,0,0,1,1,1
"/community/sports/pyb/",84,57,100,93,85,3169.65,10670.23,0,20,0,3712.84,1,1,1,1,1,0,0,1,1,1
"/community/sports/pyso/",84,56,100,93,85,2724.91,13975.87,0,16,0,7649.78,1,1,1,1,1,0,0,1,1,1
"/community/sports/sports-1394/",84,59,100,93,85,2572.9,12773.25,0.05,19,0,2736.24,1,1,1,1,1,0,0,1,1,1
"/community/wildfire-resources-and-support/",83,55,97,93,85,3623.87,9324.2,0,16,0,5523.46,0,1,1,1,1,0,0,1,1,1
"/community/youth-commission/",84,57,100,93,85,2424.28,12175.71,0,20,0,6298.04,1,1,1,1,1,0,0,1,1,1
"/delete-your-account/",84,59,100,93,85,2883.62,9774.03,0.01,18,0,2883.62,1,1,1,1,1,0,0,1,1,1
"/department-directory/",84,56,100,93,85,3170.77,9471.55,0,16,0,6096.26,1,1,1,1,1,0,0,1,1,1
"/dont-let-scammers-ruin-your-holiday-cheer/",84,59,100,93,85,2422.47,4747.72,0,16,0,10268.09,1,1,1,1,1,0,0,1,1,1
"/event/",85,62,100,93,85,3170.53,3920.56,0.01,16,0,3170.53,1,1,1,1,1,0,0,1,1,1
"/event/14284/",84,56,100,93,85,3169.48,10369.63,0,16,0,6118.32,1,1,1,1,1,0,0,1,1,1
"/event/1660-adult-recreation-spring-jamboree/",82,56,100,93,77,3180.57,17439.91,0,16,0,6017.68,1,1,1,1,1,0,0,1,1,1
"/event/labor-day-closure/",82,56,100,93,77,3251.66,9326.66,0,16,0,5748.57,1,1,1,1,1,0,0,1,1,1
"/event/movies-at-the-pool-3/",82,57,100,93,77,3171.6,5872.44,0,16,0,4901.62,1,1,1,1,1,0,0,1,1,1
"/event/national-day-of-prayer/",82,57,100,93,77,3170.08,6320.08,0,16,0,5095.29,1,1,1,1,1,0,0,1,1,1
"/event/planning-commission-meeting-11/",84,58,100,93,85,3168.88,5119.31,0,16,0,5676.85,1,1,1,1,1,0,0,1,1,1
"/event/senior-services-commission-meeting-3/",84,57,100,93,85,3169.28,5944.36,0,20,0,4141.38,1,1,1,1,1,0,0,1,1,1
